Tipo;X;Y;Z;A;B;C
PIN;1574.02;102.761;-38.2164;-179.996;-0.0004;0.0004
PIN;1583.99;-141.686;-35.554;-179.996;-0.0004;0.0004
PIN;1573.18;-324.448;-33.0004;-179.996;-0.0004;0.0004
PIN;1580.98;-571.075;-26.0184;-179.996;-0.0004;0.0004
PIN;1404.87;-569.39;-27.1184;-179.996;-0.0004;0.0004
PIN;1396.89;-323.262;-28.2456;-179.996;-0.0004;0.0004
PIN;1407.4;-140.863;-31.572;-179.996;-0.0004;0.0004
PIN;1398.21;103.851;-34.9076;-179.996;-0.0004;0.0004
PIN;1267.19;105.093;-34.0384;-179.996;-0.0004;0.0004
PIN;1277.25;-140.048;-31.854;-179.996;-0.0004;0.0004
PIN;1266;-322.858;-27.554;-179.996;-0.0004;0.0004
PIN;1273.66;-567.67;-27.3692;-179.699;-2.3712;1.1264
PIN;1097.83;-566.079;-24.9656;-179.699;-2.3712;1.1264
PIN;1089.63;-321.61;-24.1664;179.996;0.0004;-0.0008
PIN;1100.37;-139.271;-30.0888;179.996;0.0004;-0.0008
PIN;1090.93;105.676;-32.1036;179.996;0.0004;-0.0008
PIN;959.464;106.206;-32.0524;179.996;0.0004;-0.0008
PIN;969.358;-138.796;-28.9992;179.996;0.0004;-0.0008
PIN;958.2;-320.678;-25.098;179.996;0.0004;-0.0008
PIN;966.484;-566.303;-22.4672;179.996;0.0004;-0.0008
PIN;790.005;-564.482;-21.5348;179.996;0.0004;-0.0008
PIN;782.382;-320.173;-23.7132;179.992;0.0024;-0.018
PIN;793.446;-137.878;-26.8812;179.992;0.0024;-0.018
PIN;784.085;107.789;-30.9572;-179.7;-2.3792;1.122
PIN;652.49;109.227;-30.7768;-179.7;-2.3792;1.122
PIN;433.617;149.867;-28.5448;-89.998;-0.0484;0.0016
PIN;662.784;-137.155;-26.4056;-179.7;-2.3812;1.1244
PIN;651.135;-319.81;-22.3984;179.996;-0.0028;-0.0008
PIN;483.102;-562.136;-19.794;-179.703;-2.3824;1.1256
PIN;475.033;-318.162;-22.1704;179.996;0.0004;-0.0016
PIN;485.928;-135.841;-24.906;180;0.0004;-0.0016
CORE;661.054;-24.648;-70.7096;0;0;0
CORE;655.938;-434.43;-59.998;179.996;-0.0004;-0.0004
